Centro,Meta_ID,Indicador,Numerador,Denominador,Cumplimiento,Meta_Fijada,Meta_Nacional
121350,Meta 3A,CERO (0-9),0,4265,0.0,0.0,0.0
121350,Meta 3B,Libre Caries (6),0,486,0.0,21.0,21.0
121460,Meta 3A,CERO (0-9),0,30,0.0,0.0,0.0
121460,Meta 3B,Libre Caries (6),0,5,0.0,21.0,21.0
121352,Meta 3A,CERO (0-9),0,832,0.0,0.0,0.0
121352,Meta 3B,Libre Caries (6),0,98,0.0,21.0,21.0
121788,Meta 3A,CERO (0-9),0,383,0.0,0.0,0.0
121788,Meta 3B,Libre Caries (6),0,43,0.0,21.0,21.0
200183,Meta 3A,CERO (0-9),0,2419,0.0,0.0,0.0
200183,Meta 3B,Libre Caries (6),0,271,0.0,21.0,21.0
121309,Meta 3A,CERO (0-9),0,2551,0.0,0.0,0.0
121309,Meta 3B,Libre Caries (6),0,296,0.0,21.0,21.0
121782,Meta 3A,CERO (0-9),0,361,0.0,0.0,0.0
121782,Meta 3B,Libre Caries (6),0,52,0.0,21.0,21.0
121780,Meta 3A,CERO (0-9),0,343,0.0,0.0,0.0
121780,Meta 3B,Libre Caries (6),0,39,0.0,21.0,21.0
121347,Meta 3A,CERO (0-9),0,2406,0.0,0.0,0.0
121347,Meta 3B,Libre Caries (6),0,262,0.0,21.0,21.0
121305,Meta 3A,CERO (0-9),0,2508,0.0,0.0,0.0
121305,Meta 3B,Libre Caries (6),0,269,0.0,21.0,21.0
121306,Meta 3A,CERO (0-9),0,3028,0.0,0.0,0.0
121306,Meta 3B,Libre Caries (6),0,343,0.0,21.0,21.0
121307,Meta 3A,CERO (0-9),0,4018,0.0,0.0,0.0
121307,Meta 3B,Libre Caries (6),0,433,0.0,21.0,21.0
