Centro,Meta_ID,Indicador,Numerador,Denominador,Cumplimiento,Meta_Fijada,Meta_Nacional
121350,Meta 4A,Compensación DM2,1140,3219,35.414725069897486,29.0,29.0
121350,Meta 4B,Pie Diabético,1702,1629,104.48127685696747,90.0,90.0
121782,Meta 4A,Compensación DM2,170,428,39.719626168224295,29.0,29.0
121782,Meta 4B,Pie Diabético,224,253,88.53754940711462,90.0,90.0
121307,Meta 4A,Compensación DM2,2218,4557,48.67237217467632,29.0,29.0
121307,Meta 4B,Pie Diabético,3066,3215,95.36547433903577,90.0,90.0
200183,Meta 4A,Compensación DM2,642,2111,30.412126954050212,29.0,29.0
200183,Meta 4B,Pie Diabético,824,850,96.94117647058823,90.0,90.0
121460,Meta 4A,Compensación DM2,0,64,0.0,29.0,29.0
121460,Meta 4B,Pie Diabético,0,0,0,90.0,90.0
121306,Meta 4A,Compensación DM2,2802,3251,86.18886496462626,29.0,29.0
121306,Meta 4B,Pie Diabético,2154,2270,94.8898678414097,90.0,90.0
121305,Meta 4A,Compensación DM2,1045,2598,40.22324865280986,29.0,29.0
121305,Meta 4B,Pie Diabético,1156,1300,88.92307692307693,90.0,90.0
121309,Meta 4A,Compensación DM2,1249,2817,44.337948171813984,29.0,29.0
121309,Meta 4B,Pie Diabético,1478,1555,95.04823151125402,90.0,90.0
121780,Meta 4A,Compensación DM2,182,328,55.487804878048784,29.0,29.0
121780,Meta 4B,Pie Diabético,240,266,90.22556390977444,90.0,90.0
121788,Meta 4A,Compensación DM2,192,451,42.572062084257205,29.0,29.0
121788,Meta 4B,Pie Diabético,282,289,97.57785467128028,90.0,90.0
121352,Meta 4A,Compensación DM2,288,714,40.33613445378151,29.0,29.0
121352,Meta 4B,Pie Diabético,415,513,80.89668615984405,90.0,90.0
121347,Meta 4A,Compensación DM2,790,2071,38.145823273780785,29.0,29.0
121347,Meta 4B,Pie Diabético,1171,1385,84.54873646209387,90.0,90.0
