Centro,Meta_ID,Indicador,Numerador,Denominador,Cumplimiento,Meta_Fijada,Meta_Nacional
121307,Meta 7,Resp (Asma/EPOC),1216,6583,18.471821358043446,16.77,15.0
121352,Meta 7,Resp (Asma/EPOC),76,1056,7.196969696969697,16.77,15.0
121780,Meta 7,Resp (Asma/EPOC),5,463,1.079913606911447,16.77,15.0
121305,Meta 7,Resp (Asma/EPOC),662,3742,17.691074291822556,16.77,15.0
121309,Meta 7,Resp (Asma/EPOC),1113,4157,26.774115949001686,16.77,15.0
200183,Meta 7,Resp (Asma/EPOC),334,2989,11.174305787888926,16.77,15.0
121350,Meta 7,Resp (Asma/EPOC),722,4677,15.437246097926021,16.77,15.0
121788,Meta 7,Resp (Asma/EPOC),1,650,0.15384615384615385,16.77,15.0
121782,Meta 7,Resp (Asma/EPOC),9,602,1.495016611295681,16.77,15.0
121347,Meta 7,Resp (Asma/EPOC),591,2954,20.00677048070413,16.77,15.0
121306,Meta 7,Resp (Asma/EPOC),912,4720,19.322033898305087,16.77,15.0
121460,Meta 7,Resp (Asma/EPOC),0,93,0.0,16.77,15.0
